LineId,Content,EventId,EventTemplate
186,INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: 161 Total time for transactions(ms): 20 Number of transactions batched in Syncs: 0 Number of syncs: 34 SyncTimes(ms): 111 ,P22,INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: .* Total time for transactions(ms): .* Number of transactions batched in Syncs: .* Number of syncs: .* SyncTimes(ms): .*
187,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate blk_1073742962_2140{UCState=UNDER_CONSTRUCTION, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW], ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW], ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW]]} for /tmp/hadoop-yarn/staging/history/done_intermediate/james/job_1514193106348_0001_conf.xml_tmp",P28,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate .*{UCState=.*, truncateBlock=.*, primaryNodeIndex=.*, replicas=.*} for .*"
188,"INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: 155.230.91.229:50010 is added to blk_1073742962_2140{UCState=UNDER_CONSTRUCTION, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW], ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW], ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW]]} size 0",P17,INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: .* is added to .* size .*
189,"INFO org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: NodeManager from node deimos28(cmPort: 44194 httpPort: 8042) registered with capability: <memory:8192, vCores:4>, assigned nodeId deimos28:44194",P9,"INFO org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: NodeManager from node .*(cmPort: .* httpPort: .*) registered with capability: <memory:.*, vCores:.*>, assigned nodeId .*"
190,"INFO org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: NodeManager from node deimos29(cmPort: 34091 httpPort: 8042) registered with capability: <memory:8192, vCores:4>, assigned nodeId deimos29:34091",P9,"INFO org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: NodeManager from node .*(cmPort: .* httpPort: .*) registered with capability: <memory:.*, vCores:.*>, assigned nodeId .*"
191,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Assigned container container_1514193106348_0001_01_000166 of capacity <memory:2048, vCores:1> on host deimos28:44194, which has 4 containers, <memory:8192, vCores:4> used and <memory:0, vCores:0> available after allocation",P8,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Assigned container .* of capacity <memory:.*, vCores:.*> on host .*, which has .* containers, <memory:.*, vCores:.*> used and <memory:.*, vCores:.*> available after allocation"
192,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: assignedContainer application attempt=appattempt_1514193106348_0001_000001 container=Container: [ContainerId: container_1514193106348_0001_01_000166, NodeId: deimos28:44194, NodeHttpAddress: deimos28:8042, Resource: <memory:2048, vCores:1>, Priority: 20, Token: null, ] queue=default: capacity=1.0, absoluteCapacity=1.0, usedResources=<memory:22528, vCores:11>, usedCapacity=0.9166667, absoluteUsedCapacity=0.9166667, numApps=1, numContainers=11 clusterResource=<memory:24576, vCores:12> type=NODE_LOCAL requestedPartition=",P5,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: assignedContainer application attempt=.* container=.*: [ContainerId: .*, NodeId: .*, NodeHttpAddress: .*, Resource: <memory:.*, vCores:.*>, Priority: .*, Token: null, ] queue=.*: capacity=.*, absoluteCapacity=.*, usedResources=<memory:.*, vCores:.*>, usedCapacity=.*, absoluteUsedCapacity=.*, numApps=.*, numContainers=.* clusterResource=<memory:.*, vCores:.*> type=.* requestedPartition="
193,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Released container container_1514193106348_0001_01_000169 of capacity <memory:2048, vCores:1> on host deimos28:44194, which currently has 3 containers, <memory:6144, vCores:3> used and <memory:2048, vCores:1> available, release resources=true",P7,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Released container .* of capacity <memory:.*, vCores:.*> on host .*, which currently has .* containers, <memory:.*, vCores:.*> used and <memory:.*, vCores:.*> available, release resources=.*"
194,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: completedContainer container=Container: [ContainerId: container_1514193106348_0001_01_000169, NodeId: deimos28:44194, NodeHttpAddress: deimos28:8042, Resource: <memory:2048, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 155.230.91.228:44194 }, ] queue=default: capacity=1.0, absoluteCapacity=1.0, usedResources=<memory:22528, vCores:11>, usedCapacity=0.9166667, absoluteUsedCapacity=0.9166667, numApps=1, numContainers=11 cluster=<memory:24576, vCores:12>",P4,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: completedContainer container=.*: [ContainerId: .*, NodeId: .*, NodeHttpAddress: .*, Resource: <memory:.*, vCores:.*>, Priority: .*, Token: Token { kind: ContainerToken, service: .* }, ] queue=.*: capacity=.*, absoluteCapacity=.*, usedResources=<memory:.*, vCores:.*>, usedCapacity=.*, absoluteUsedCapacity=.*, numApps=.*, numContainers=.* cluster=<memory:.*, vCores:.*>"
195,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler: Application attempt appattempt_1514193106348_0001_000001 released container container_1514193106348_0001_01_000169 on node: host: deimos28:44194 #containers=3 available=<memory:2048, vCores:1> used=<memory:6144, vCores:3> with event: FINISHED",P6,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler: Application attempt .* released container .* on node: host: .* #containers=.* available=<memory:.*, vCores:.*> used=<memory:.*, vCores:.*> with event: FINISHED"
196,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Assigned container container_1514193106348_0001_01_000399 of capacity <memory:2048, vCores:1> on host deimos28:44194, which has 3 containers, <memory:6144, vCores:3> used and <memory:2048, vCores:1> available after allocation",P8,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Assigned container .* of capacity <memory:.*, vCores:.*> on host .*, which has .* containers, <memory:.*, vCores:.*> used and <memory:.*, vCores:.*> available after allocation"
197,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: assignedContainer application attempt=appattempt_1514193106348_0001_000001 container=Container: [ContainerId: container_1514193106348_0001_01_000399, NodeId: deimos28:44194, NodeHttpAddress: deimos28:8042, Resource: <memory:2048, vCores:1>, Priority: 20, Token: null, ] queue=default: capacity=1.0, absoluteCapacity=1.0, usedResources=<memory:18432, vCores:9>, usedCapacity=0.75, absoluteUsedCapacity=0.75, numApps=1, numContainers=9 clusterResource=<memory:24576, vCores:12> type=NODE_LOCAL requestedPartition=",P5,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: assignedContainer application attempt=.* container=.*: [ContainerId: .*, NodeId: .*, NodeHttpAddress: .*, Resource: <memory:.*, vCores:.*>, Priority: .*, Token: null, ] queue=.*: capacity=.*, absoluteCapacity=.*, usedResources=<memory:.*, vCores:.*>, usedCapacity=.*, absoluteUsedCapacity=.*, numApps=.*, numContainers=.* clusterResource=<memory:.*, vCores:.*> type=.* requestedPartition="
198,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Released container container_1514193106348_0001_01_000001 of capacity <memory:2048, vCores:1> on host deimos29:34091, which currently has 0 containers, <memory:0, vCores:0> used and <memory:8192, vCores:4> available, release resources=true",P7,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.SchedulerNode: Released container .* of capacity <memory:.*, vCores:.*> on host .*, which currently has .* containers, <memory:.*, vCores:.*> used and <memory:.*, vCores:.*> available, release resources=.*"
199,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: completedContainer container=Container: [ContainerId: container_1514193106348_0001_01_000001, NodeId: deimos29:34091, NodeHttpAddress: deimos29:8042, Resource: <memory:2048, vCores:1>, Priority: 0, Token: Token { kind: ContainerToken, service: 155.230.91.229:34091 }, ] queue=default: capacity=1.0, absoluteCapacity=1.0, usedResources=<memory:0, vCores:0>, usedCapacity=0.0, absoluteUsedCapacity=0.0, numApps=1, numContainers=0 cluster=<memory:24576, vCores:12>",P4,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.LeafQueue: completedContainer container=.*: [ContainerId: .*, NodeId: .*, NodeHttpAddress: .*, Resource: <memory:.*, vCores:.*>, Priority: .*, Token: Token { kind: ContainerToken, service: .* }, ] queue=.*: capacity=.*, absoluteCapacity=.*, usedResources=<memory:.*, vCores:.*>, usedCapacity=.*, absoluteUsedCapacity=.*, numApps=.*, numContainers=.* cluster=<memory:.*, vCores:.*>"
200,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler: Application attempt appattempt_1514193106348_0001_000001 released container container_1514193106348_0001_01_000001 on node: host: deimos29:34091 #containers=0 available=<memory:8192, vCores:4> used=<memory:0, vCores:0> with event: FINISHED",P6,"INFO org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler: Application attempt .* released container .* on node: host: .* #containers=.* available=<memory:.*, vCores:.*> used=<memory:.*, vCores:.*> with event: FINISHED"
